ANO;GRANDE REGIÃO;ESTADO;PRODUTO;VENDAS
1959;Região Sudeste;Minas Gerais;GLP;22643,11594
1959;Região Nordeste;Bahia;GLP;9898,550725
1959;Região Nordeste;Ceará;GLP;5164,855072
1959;Região Norte;Pará;GLP;0
1959;Região Centro-Oeste;Goiás;GLP;1940,217391
1959;Região Norte;Rondônia;GLP;0
1959;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1960;Região Nordeste;Paraíba;GLP;2226,449275
1960;Região Centro-Oeste;Distrito Federal;GLP;0
1960;Região Sul;Paraná;GLP;13885,86957
1960;Região Sudeste;São Paulo;GLP;320003,6232
1960;Região Nordeste;Ceará;GLP;6922,101449
1960;Região Sudeste;Minas Gerais;GLP;31567,02899
1960;Região Sul;Santa Catarina;GLP;3181,15942
1960;Região Norte;Pará;GLP;3168,478261
1960;Região Norte;Roraima;GLP;0
1960;Região Norte;Tocantins;GLP;0
1960;Região Nordeste;Sergipe;GLP;1224,637681
1960;Região Nordeste;Alagoas;GLP;1244,565217
1960;Região Sudeste;Espírito Santo;GLP;871,3768116
1960;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1960;Região Norte;Amapá;GLP;0
1960;Região Nordeste;Bahia;GLP;12869,56522
1960;Região Centro-Oeste;Goiás;GLP;1208,333333
1960;Região Norte;Acre;GLP;7,246376812
1960;Região Centro-Oeste;Mato Grosso;GLP;1592,391304
1960;Região Nordeste;Pernambuco;GLP;10077,89855
1960;Região Norte;Rondônia;GLP;0
1960;Região Sul;Rio Grande do Sul;GLP;33195,65217
1960;Região Norte;Amazonas;GLP;2913,043478
1960;Região Nordeste;Piauí;GLP;422,1014493
1960;Região Sudeste;Rio de Janeiro;GLP;185115,942
1960;Região Nordeste;Rio Grande do Norte;GLP;1128,623188
1960;Região Nordeste;Maranhão;GLP;1724,637681
1961;Região Nordeste;Alagoas;GLP;2349,637681
1961;Região Sudeste;São Paulo;GLP;361461,9565
1961;Região Norte;Rondônia;GLP;0
1961;Região Nordeste;Maranhão;GLP;2264,492754
1961;Região Sul;Paraná;GLP;19027,17391
1961;Região Norte;Tocantins;GLP;0
1961;Região Nordeste;Paraíba;GLP;4878,623188
1961;Região Centro-Oeste;Mato Grosso;GLP;2586,956522
